post_id,platform,content_type,topic,language,region,post_datetime,hashtags,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral
SM_100056,TikTok,image,Entertainment,ur,Brazil,2024-01-07 00:00:00,#trending #ai #fyp,6426792,267783,42410,53352,0.0566,0.161,1
SM_100057,X,carousel,Sports,hi,UK,2024-11-06 00:00:00,#news #ai #fyp #viral,2718149,388307,2562,38361,0.1579,0.947,1
SM_100058,YouTube Shorts,carousel,Lifestyle,hi,UK,2024-09-19 00:00:00,#music #news,10159886,461813,46980,21358,0.0522,-0.029,1
SM_100059,YouTube Shorts,video,Politics,hi,UK,2024-02-19 00:00:00,#funny #trending,1286430,257286,46765,94180,0.3096,-0.964,0
SM_100060,X,image,Technology,ur,India,2024-09-10 00:00:00,#news #funny #tech #ai,9902368,353656,21300,3988,0.0383,0.299,1
SM_100061,X,carousel,Entertainment,ur,US,2024-09-14 00:00:00,#music #tech #trending,2197650,439530,33991,86417,0.2548,0.085,1
SM_100062,TikTok,video,Education,en,India,2024-09-19 00:00:00,#viral #trending,2903850,107550,40823,45526,0.0668,-0.499,1
SM_100063,Instagram,text,Technology,fr,India,2024-06-14 00:00:00,#funny #ai #news #music,1980177,116481,14378,47334,0.09,-0.027,0
SM_100064,Instagram,carousel,Entertainment,fr,India,2024-12-13 00:00:00,#tech #fyp #viral,2395266,399211,19743,30747,0.1877,-0.3,1
SM_100065,TikTok,carousel,Politics,fr,India,2024-10-08 00:00:00,#funny #viral #trending #tech #news,3241188,360132,39795,5601,0.1251,-0.54,1
SM_100066,TikTok,video,Lifestyle,en,US,2024-07-16 00:00:00,#funny #ai,1440005,205715,45719,56836,0.2141,0.537,0
SM_100067,TikTok,image,Education,ur,Pakistan,2024-07-13 00:00:00,#music #funny,1909494,106083,8213,56492,0.0894,0.83,0
SM_100068,Instagram,text,Education,en,Pakistan,2024-04-20 00:00:00,#viral #trending #music #funny,1605366,178374,32640,63209,0.1708,0.857,0
SM_100069,TikTok,image,Lifestyle,hi,India,2024-05-01 00:00:00,#fyp #ai #viral #tech #trending,2512972,358996,306,45237,0.161,0.961,1
SM_100070,Instagram,video,Education,es,Brazil,2024-10-29 00:00:00,#trending #music #viral #tech,3102975,124119,195,10493,0.0434,-0.618,1
SM_100071,Instagram,text,Politics,en,Pakistan,2024-07-22 00:00:00,#viral #fyp #news #music,5263732,181508,19783,26642,0.0433,-0.211,1
SM_100072,YouTube Shorts,text,Politics,en,Pakistan,2024-06-06 00:00:00,#viral #funny #news #music #fyp,11659452,416409,574,51886,0.0402,-0.582,1
SM_100073,X,video,Entertainment,hi,US,2024-03-04 00:00:00,#tech #viral #ai #news,24684,4114,11098,18071,1.3484,-0.492,0
SM_100074,Instagram,image,Technology,ur,US,2024-06-02 00:00:00,#trending #funny,227409,10829,34182,45018,0.3959,0.697,0
SM_100075,X,video,Lifestyle,ur,Pakistan,2024-09-25 00:00:00,#ai #fyp,1483496,105964,12538,54749,0.1168,0.619,0
SM_100076,YouTube Shorts,carousel,Politics,fr,US,2024-06-21 00:00:00,#music #news #fyp,4002854,235462,29597,10648,0.0689,-0.837,1
SM_100077,X,video,Entertainment,es,India,2024-07-03 00:00:00,#ai #music #trending #tech,5971440,248810,24381,70317,0.0575,0.3,1
SM_100078,TikTok,carousel,Politics,en,Pakistan,2024-03-15 00:00:00,#music #funny,4840182,268899,40946,70032,0.0785,0.78,1
SM_100079,Instagram,carousel,Sports,fr,Brazil,2024-07-27 00:00:00,#trending #funny,2694492,449082,13408,32098,0.1836,-0.123,1
SM_100080,YouTube Shorts,carousel,Technology,ur,Pakistan,2024-09-12 00:00:00,#music #ai #trending #fyp #viral,3249012,124962,33626,93849,0.0777,0.182,1
SM_100081,Instagram,carousel,Lifestyle,ur,US,2024-08-26 00:00:00,#viral #music #ai #trending,4499770,449977,31029,70314,0.1225,-0.393,1
SM_100082,Instagram,image,Education,ur,Pakistan,2024-08-05 00:00:00,#music #ai,2043270,408654,2496,92773,0.2466,0.656,1
SM_100083,YouTube Shorts,video,Lifestyle,hi,UK,2024-01-25 00:00:00,#news #tech,2263959,251551,3056,48748,0.134,-0.085,1
SM_100084,X,text,Lifestyle,hi,Brazil,2024-09-02 00:00:00,#ai #funny #trending,10736088,447337,881,58336,0.0472,-0.177,1
SM_100085,X,text,Lifestyle,es,Pakistan,2024-07-14 00:00:00,#funny #trending #news #ai #fyp,5085840,211910,39739,72616,0.0638,-0.735,1
SM_100086,Instagram,carousel,Entertainment,fr,Brazil,2024-10-01 00:00:00,#funny #tech,5380643,233941,17024,83614,0.0622,0.59,1
SM_100087,Instagram,image,Entertainment,en,UK,2024-03-24 00:00:00,#tech #music #ai,9314838,344994,14103,28252,0.0416,-0.498,1
SM_100088,YouTube Shorts,image,Sports,fr,Pakistan,2024-09-15 00:00:00,#viral #fyp #trending #music #tech,872559,32317,8313,5950,0.0534,-0.143,0
SM_100089,X,text,Lifestyle,fr,Pakistan,2024-08-14 00:00:00,#music #ai #tech #funny,501675,100335,9209,66618,0.3511,-0.115,0
SM_100090,TikTok,image,Technology,en,US,2024-04-12 00:00:00,#fyp #funny #ai #music,3546940,177347,7810,5238,0.0537,-0.634,1
SM_100091,X,video,Entertainment,hi,US,2024-07-14 00:00:00,#fyp #ai #viral #trending #funny,2065008,187728,49017,3344,0.1163,0.314,1
SM_100092,X,video,Politics,es,Pakistan,2024-02-11 00:00:00,#ai #funny #trending #tech #viral,119448,17064,47898,59639,1.0431,-0.505,0
SM_100093,X,carousel,Entertainment,en,India,2024-01-05 00:00:00,#ai #music #fyp #news,1750190,67315,3511,13285,0.0481,-0.971,0
SM_100094,TikTok,text,Education,fr,US,2024-09-30 00:00:00,#tech #news #music #fyp,8639395,454705,9440,54341,0.06,-0.919,1
SM_100095,Instagram,text,Entertainment,es,Brazil,2024-06-01 00:00:00,#news #fyp #music,4403673,489297,13250,60404,0.1278,-0.052,1
SM_100096,YouTube Shorts,carousel,Lifestyle,en,UK,2024-07-05 00:00:00,#fyp #music #funny,1919464,239933,35252,94759,0.1927,-0.654,0
SM_100097,TikTok,image,Technology,fr,Pakistan,2024-03-29 00:00:00,#ai #viral #news,828814,59201,37225,26647,0.1485,0.898,0
SM_100098,Instagram,carousel,Entertainment,fr,US,2024-09-28 00:00:00,#news #tech #fyp #funny #music,5034722,359623,2854,40159,0.08,0.252,1
SM_100099,Instagram,video,Politics,fr,Pakistan,2024-06-19 00:00:00,#viral #trending #ai #music,10165036,363037,9828,60161,0.0426,0.317,1
SM_100100,YouTube Shorts,carousel,Sports,fr,Pakistan,2024-03-02 00:00:00,#fyp #trending,7958540,397927,27668,51992,0.06,0.285,1
SM_100101,X,video,Politics,en,UK,2024-06-26 00:00:00,#ai #news #tech #music #fyp,2275296,94804,49120,91008,0.1033,0.151,1
SM_100102,YouTube Shorts,video,Lifestyle,es,India,2024-05-02 00:00:00,#music #funny #trending #fyp,2328425,465685,11943,35196,0.2202,-0.083,1
SM_100103,Instagram,video,Technology,es,Pakistan,2024-11-14 00:00:00,#viral #trending #news,1816430,363286,28079,97857,0.2693,0.303,0
SM_100104,Instagram,text,Education,fr,US,2024-06-11 00:00:00,#ai #viral #trending #tech,1412462,83086,24112,20765,0.0906,-0.571,0
SM_100105,TikTok,video,Entertainment,fr,UK,2024-12-13 00:00:00,#fyp #funny,6109191,265617,12166,97533,0.0614,0.237,1
SM_100106,Instagram,image,Lifestyle,es,Pakistan,2024-06-23 00:00:00,#trending #viral #fyp #ai #music,329400,27450,27477,94298,0.453,-0.229,0
SM_100107,Instagram,carousel,Lifestyle,ur,Brazil,2024-04-14 00:00:00,#tech #fyp #trending #ai,2451726,408621,9822,76798,0.202,-0.479,1
SM_100108,Instagram,image,Politics,ur,India,2024-05-03 00:00:00,#ai #news #tech,7065050,282602,3272,82746,0.0522,-0.303,1
SM_100109,TikTok,text,Sports,en,India,2024-11-10 00:00:00,#music #fyp #tech,91504,11438,417,7544,0.212,-0.164,0
SM_100110,YouTube Shorts,carousel,Politics,hi,UK,2024-10-14 00:00:00,#viral #trending #funny #news,1982304,220256,27389,44426,0.1473,0.501,0
SM_100111,YouTube Shorts,video,Sports,es,India,2024-02-29 00:00:00,#news #viral #fyp,6190780,309539,48821,83043,0.0713,-0.745,1
SM_100112,TikTok,carousel,Sports,hi,Pakistan,2024-11-21 00:00:00,#music #news #funny,1909980,70740,34916,59032,0.0862,0.862,0
SM_100113,Instagram,video,Technology,es,India,2024-08-03 00:00:00,#ai #funny,1662552,61576,44816,36209,0.0858,0.502,0
SM_100114,Instagram,video,Technology,hi,US,2024-09-11 00:00:00,#fyp #trending #viral #tech,2372076,112956,2919,21353,0.0579,0.069,1
SM_100115,X,carousel,Lifestyle,hi,Brazil,2024-08-13 00:00:00,#music #viral #funny,11306646,434871,46964,729,0.0427,-0.405,1
SM_100116,X,carousel,Lifestyle,fr,Brazil,2024-11-18 00:00:00,#tech #viral,640864,40054,47285,79460,0.2603,0.917,0
SM_100117,TikTok,image,Entertainment,en,India,2024-02-17 00:00:00,#trending #viral #funny #ai,4595602,417782,36944,69897,0.1142,0.914,1
SM_100118,X,carousel,Entertainment,ur,Brazil,2024-02-26 00:00:00,#viral #ai #tech,988646,52034,32312,54099,0.14,-0.833,0
SM_100119,X,video,Sports,es,India,2024-02-29 00:00:00,#ai #news,3026880,126120,37264,89113,0.0834,0.345,1
SM_100120,Instagram,image,Sports,en,US,2024-03-01 00:00:00,#funny #music #viral #fyp,2608397,237127,1172,27193,0.1018,-0.818,1
SM_100121,Instagram,carousel,Lifestyle,es,US,2024-11-03 00:00:00,#fyp #funny,2748906,152717,21694,11175,0.0675,0.099,1
SM_100122,Instagram,carousel,Sports,hi,India,2024-06-11 00:00:00,#music #fyp #tech #ai,141720,9448,23719,38103,0.5029,0.412,0
SM_100123,Instagram,video,Politics,fr,India,2024-12-23 00:00:00,#viral #news #funny,1445500,103250,6736,48137,0.1094,0.674,0
SM_100124,Instagram,carousel,Sports,ur,UK,2024-03-25 00:00:00,#viral #music #trending #funny #ai,2241404,203764,11521,44262,0.1158,-0.148,1
SM_100125,TikTok,image,Education,es,Brazil,2024-03-28 00:00:00,#trending #viral #ai #music #tech,3993330,181515,39086,62857,0.071,0.784,1
SM_100126,Instagram,video,Entertainment,es,US,2024-06-29 00:00:00,#news #tech,4936536,214632,22561,54694,0.0591,0.163,1
SM_100127,YouTube Shorts,image,Education,en,US,2024-05-25 00:00:00,#music #fyp #viral #ai,10455936,435664,26437,83286,0.0522,-0.527,1
SM_100128,TikTok,video,Sports,es,India,2024-03-23 00:00:00,#ai #viral #tech,3468624,433578,37085,1325,0.1361,-0.3,1
SM_100129,YouTube Shorts,text,Politics,en,Pakistan,2024-10-07 00:00:00,#ai #news #fyp #viral,3528176,220511,19875,34579,0.0779,0.117,1
SM_100130,Instagram,carousel,Technology,hi,UK,2024-08-07 00:00:00,#ai #trending,2736402,118974,25294,55130,0.0729,-0.778,1
SM_100131,Instagram,carousel,Education,fr,Pakistan,2024-01-29 00:00:00,#viral #tech #funny #music #trending,6747972,306726,20657,4749,0.0492,-0.063,1
SM_100132,X,image,Education,en,India,2024-05-07 00:00:00,#trending #fyp #tech #music #funny,1488732,124061,30360,55772,0.1412,-0.765,0
SM_100133,X,text,Education,ur,Pakistan,2024-04-23 00:00:00,#viral #trending #fyp #news,1214612,173516,42923,52225,0.2212,0.167,0
SM_100134,TikTok,carousel,Technology,ur,Brazil,2024-07-08 00:00:00,#fyp #music,1296309,61729,509,99519,0.1248,-0.834,0
SM_100135,TikTok,carousel,Entertainment,fr,India,2024-01-10 00:00:00,#fyp #funny #trending #viral,3424320,214020,37802,67642,0.0933,0.956,1
SM_100136,TikTok,carousel,Lifestyle,ur,Brazil,2024-12-03 00:00:00,#news #tech,10816416,416016,34625,20560,0.0436,0.849,1
SM_100137,YouTube Shorts,text,Politics,hi,UK,2024-06-30 00:00:00,#funny #viral #tech #music #fyp,4777353,207711,21737,91363,0.0672,0.939,1
SM_100138,YouTube Shorts,text,Education,fr,UK,2024-04-10 00:00:00,#fyp #music #ai #tech,2397465,114165,6195,17641,0.0576,0.391,1
SM_100139,TikTok,image,Politics,en,Brazil,2024-04-27 00:00:00,#music #news #viral #ai #funny,6297640,314882,42361,68867,0.0677,0.474,1
SM_100140,TikTok,carousel,Lifestyle,ur,Pakistan,2024-06-14 00:00:00,#viral #trending #funny #fyp #music,8008600,400430,13328,99658,0.0641,0.781,1
SM_100141,TikTok,image,Politics,fr,US,2024-05-18 00:00:00,#tech #music #ai #news,9703575,388143,23964,66204,0.0493,-0.445,1
SM_100142,X,text,Politics,es,US,2024-02-16 00:00:00,#music #fyp #funny #ai,1023594,46527,36492,84666,0.1638,-0.468,0
SM_100143,YouTube Shorts,image,Technology,en,Brazil,2024-06-29 00:00:00,#music #funny #news,12911184,496584,4840,20160,0.0404,-0.935,1
SM_100144,TikTok,carousel,Lifestyle,ur,India,2024-04-20 00:00:00,#music #fyp #viral #news #tech,10353696,431404,13221,55285,0.0483,0.206,1
SM_100145,YouTube Shorts,text,Entertainment,ur,Pakistan,2024-12-14 00:00:00,#tech #trending,6466518,359251,17313,27533,0.0625,-0.848,1
SM_100146,X,video,Entertainment,fr,India,2024-08-20 00:00:00,#fyp #music,3948849,438761,5718,56179,0.1268,0.227,1
SM_100147,TikTok,image,Sports,en,UK,2024-02-18 00:00:00,#tech #fyp #music #trending #funny,2850606,129573,14,84792,0.0752,0.103,1
SM_100148,TikTok,video,Sports,en,India,2024-04-27 00:00:00,#fyp #trending #viral,845320,169064,1020,61814,0.2743,-0.039,0
SM_100149,TikTok,image,Lifestyle,es,Brazil,2024-06-27 00:00:00,#funny #tech #fyp,7047754,243026,47285,62293,0.05,0.94,1
SM_100150,X,image,Entertainment,ur,US,2024-07-16 00:00:00,#news #fyp #music #trending #tech,1673590,334718,21173,46541,0.2405,-0.063,0
SM_100151,YouTube Shorts,text,Sports,fr,UK,2024-10-20 00:00:00,#ai #trending #funny #fyp,2641750,105670,8707,385,0.0434,-0.887,1
SM_100152,Instagram,text,Education,en,US,2024-03-07 00:00:00,#viral #funny #music,3802545,422505,12768,18385,0.1193,0.999,1
SM_100153,TikTok,text,Politics,en,UK,2024-09-19 00:00:00,#music #funny,6357555,235465,15111,50613,0.0474,0.538,1
SM_100154,X,image,Politics,en,India,2024-09-27 00:00:00,#trending #tech,6282680,273160,4814,32202,0.0494,-0.505,1
SM_100155,Instagram,video,Entertainment,en,US,2024-01-14 00:00:00,#news #viral,10343399,449713,38770,34817,0.0506,-0.451,1
SM_100156,TikTok,text,Lifestyle,fr,UK,2024-04-23 00:00:00,#funny #fyp #news #viral #music,6706035,319335,21954,70081,0.0613,0.514,1
SM_100157,X,text,Education,ur,US,2024-06-23 00:00:00,#trending #viral,1015223,92293,36192,7240,0.1337,0.343,0
SM_100158,Instagram,carousel,Technology,en,Pakistan,2024-02-06 00:00:00,#news #trending,4162158,189189,43130,49923,0.0678,0.704,1
SM_100159,TikTok,carousel,Education,ur,India,2024-07-06 00:00:00,#trending #viral #tech #music #funny,3360085,115865,8432,24286,0.0442,0.18,1
SM_100160,YouTube Shorts,carousel,Technology,hi,UK,2024-08-01 00:00:00,#news #viral #fyp #tech,5347398,281442,19763,15255,0.0592,0.569,1
SM_100161,X,image,Education,hi,India,2024-05-05 00:00:00,#trending #ai #fyp #tech #viral,7818919,339953,37446,92235,0.0601,0.806,1
SM_100162,TikTok,video,Technology,hi,US,2024-03-26 00:00:00,#funny #ai #news #music #viral,7204098,327459,13056,6950,0.0482,0.18,1
SM_100163,Instagram,image,Entertainment,en,India,2024-07-21 00:00:00,#viral #ai #tech #fyp #funny,3176599,138113,25939,23387,0.059,0.808,1
SM_100164,X,text,Politics,hi,Pakistan,2024-10-13 00:00:00,#news #funny,2382835,476567,28925,53414,0.2346,0.567,1
SM_100165,YouTube Shorts,carousel,Sports,ur,Brazil,2024-06-01 00:00:00,#funny #news,3513650,250975,4642,70391,0.0928,0.725,1
SM_100166,TikTok,image,Education,ur,Brazil,2024-09-17 00:00:00,#viral #news,3472560,248040,37665,39812,0.0937,0.853,1
SM_100167,YouTube Shorts,image,Entertainment,fr,India,2024-07-27 00:00:00,#trending #news #fyp,6119148,218541,19968,55124,0.048,-0.908,1
SM_100168,Instagram,video,Sports,en,Brazil,2024-07-19 00:00:00,#ai #music,5707257,335721,14393,5570,0.0623,-0.582,1
SM_100169,TikTok,image,Education,es,UK,2024-01-30 00:00:00,#trending #ai #music,5938370,258190,12020,45003,0.0531,0.075,1
SM_100170,YouTube Shorts,video,Technology,fr,US,2024-12-04 00:00:00,#ai #news #fyp #trending #funny,2330790,155386,40123,80720,0.1185,-0.722,1
SM_100171,TikTok,text,Technology,hi,UK,2024-09-25 00:00:00,#ai #fyp #funny #trending,169197,24171,45420,41241,0.655,0.749,0
SM_100172,Instagram,image,Politics,hi,US,2024-09-12 00:00:00,#ai #viral #music,9815250,426750,4193,75698,0.0516,-0.918,1
SM_100173,X,text,Lifestyle,es,Pakistan,2024-06-29 00:00:00,#music #tech #trending #news #viral,12489360,480360,21974,36669,0.0432,-0.823,1
SM_100174,Instagram,image,Sports,ur,India,2024-01-20 00:00:00,#tech #music #news #ai,2351880,130660,39149,16908,0.0794,-0.271,1
SM_100175,YouTube Shorts,carousel,Entertainment,fr,India,2024-10-01 00:00:00,#trending #viral #funny,1195545,91965,46897,81819,0.1846,-0.815,0
SM_100176,TikTok,carousel,Education,en,UK,2024-07-29 00:00:00,#fyp #viral #music,5411542,284818,5245,43222,0.0616,0.023,1
SM_100177,X,video,Entertainment,en,Brazil,2024-08-10 00:00:00,#funny #ai,3300624,412578,4437,95258,0.1552,0.612,1
SM_100178,TikTok,image,Education,hi,Brazil,2024-08-14 00:00:00,#fyp #ai #funny #music #news,9356256,389844,14183,50429,0.0486,-0.581,1
SM_100179,TikTok,text,Politics,fr,India,2024-07-25 00:00:00,#fyp #news #ai #funny #tech,12848598,475874,60,8718,0.0377,0.063,1
SM_100180,YouTube Shorts,text,Sports,ur,India,2024-02-29 00:00:00,#tech #viral #funny #fyp #news,6866188,245221,16753,4622,0.0388,-0.734,1
SM_100181,TikTok,image,Technology,hi,India,2024-12-21 00:00:00,#viral #fyp #trending #ai #music,2453292,136294,18035,82839,0.0967,0.499,1
SM_100182,Instagram,carousel,Technology,fr,US,2024-12-23 00:00:00,#ai #news #fyp #trending,2305177,329311,40945,88870,0.1992,-0.206,1
SM_100183,TikTok,image,Sports,es,US,2024-02-15 00:00:00,#fyp #ai #viral,417339,46371,8157,38519,0.223,-0.635,0
SM_100184,Instagram,text,Lifestyle,en,US,2024-08-02 00:00:00,#funny #trending #fyp,18592,1162,29931,6230,2.0075,-0.534,0
SM_100185,TikTok,carousel,Politics,hi,Pakistan,2024-02-29 00:00:00,#tech #trending #music #viral,1078144,134768,44248,6169,0.1718,-0.29,0
SM_100186,X,carousel,Sports,en,India,2024-02-05 00:00:00,#fyp #tech,1562788,82252,26739,6372,0.0738,0.474,0
SM_100187,TikTok,text,Politics,en,India,2024-04-16 00:00:00,#trending #ai #music #funny,273210,13010,7948,77736,0.3612,0.129,0
SM_100188,Instagram,image,Lifestyle,es,Pakistan,2024-10-12 00:00:00,#fyp #music,4747650,474765,35245,60005,0.1201,0.799,1
SM_100189,Instagram,carousel,Entertainment,es,US,2024-03-01 00:00:00,#news #music #funny #tech #fyp,825299,48547,34534,75704,0.1924,-0.339,0
SM_100190,X,image,Education,fr,India,2024-08-09 00:00:00,#news #music #viral,4213400,421340,27290,92437,0.1284,-0.269,1
